Experiment       | Dataset | SLO Target (ms) | Avg RTT | Avg BW | Mu (SLO Penalty) | Train Accuracy | Train Latency (ms) | Final Loss | Test Accuracy | Avg Latency (ms) | P95 Latency (ms) | Exit Distribution                           | Exit Head Final | Split Point
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
A_slo_040        | fmnist  | 40.0            | 50.0    | 15.0   | 10.00            | 99.32          | 30.89              | 2.3346     | 92.19         | 30.89            | 30.89            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
A_slo_060        | fmnist  | 60.0            | 50.0    | 15.0   | 10.00            | 99.17          | 30.89              | 1.5658     | 92.62         | 30.89            | 30.89            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
A_slo_100        | fmnist  | 100.0           | 50.0    | 15.0   | 10.00            | 99.22          | 30.89              | 0.9470     | 92.16         | 30.89            | 30.89            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
B_net_fast       | fmnist  | 70.0            | 10.0    | 50.0   | 10.00            | 99.21          | 24.89              | 1.0878     | 92.15         | 25.16            | 42.60            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 0          
B_net_impossible | fmnist  | 70.0            | 500.0   | 1.0    | 10.00            | 99.31          | 30.89              | 1.3430     | 91.97         | 30.89            | 30.89            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
B_net_slow       | fmnist  | 70.0            | 75.0    | 3.0    | 10.00            | 99.16          | 30.89              | 1.3442     | 92.15         | 30.89            | 30.89            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
C_data_cifar     | cifar10 | 70.0            | 50.0    | 15.0   | 10.00            | 90.25          | 30.89              | 1.5873     | 85.24         | 30.89            | 30.89            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
C_data_mnist     | mnist   | 70.0            | 50.0    | 15.0   | 10.00            | 99.91          | 30.90              | 1.3268     | 99.40         | 30.89            | 30.89            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
D_edge_003       | fmnist  | 70.0            | 50.0    | 15.0   | 10.00            | 99.25          | 4.69               | 0.2210     | 92.04         | 4.69             | 4.69             | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
D_edge_050       | fmnist  | 70.0            | 50.0    | 15.0   | 10.00            | 99.16          | 77.07              | 4.4784     | 91.97         | 76.49            | 94.76            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 0          
D_edge_100       | fmnist  | 70.0            | 50.0    | 15.0   | 10.00            | 99.25          | 90.20              | 6.7875     | 92.10         | 89.73            | 105.42           | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 0          
default          | fmnist  | 70.0            | 50.0    | 15.0   | 10.00            | 99.18          | 30.89              | 1.3445     | 92.07         | 30.89            | 30.89            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
