Experiment       | Dataset | SLO Target (ms) | Avg RTT | Avg BW | Mu (SLO Penalty) | Train Accuracy | Train Latency (ms) | Final Loss | Test Accuracy | Avg Latency (ms) | P95 Latency (ms) | Exit Distribution                           | Exit Head Final | Split Point
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
A_slo_040        | fmnist  | 40.0            | 50.0    | 15.0   | 10.00            | 97.94          | 31.13              | 2.3849     | 92.34         | 31.03            | 31.03            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
A_slo_060        | fmnist  | 60.0            | 50.0    | 15.0   | 10.00            | 97.98          | 31.11              | 1.6039     | 92.51         | 31.03            | 31.03            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
A_slo_100        | fmnist  | 100.0           | 50.0    | 15.0   | 10.00            | 97.99          | 31.10              | 0.9809     | 92.41         | 31.03            | 31.03            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
B_net_fast       | fmnist  | 70.0            | 10.0    | 50.0   | 10.00            | 98.11          | 24.68              | 1.1052     | 92.01         | 24.78            | 41.09            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 0          
B_net_impossible | fmnist  | 70.0            | 500.0   | 1.0    | 10.00            | 98.09          | 31.19              | 1.3831     | 92.55         | 31.03            | 31.03            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
B_net_slow       | fmnist  | 70.0            | 75.0    | 3.0    | 10.00            | 97.97          | 31.40              | 1.3962     | 91.97         | 31.03            | 31.03            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
C_data_cifar     | cifar10 | 70.0            | 50.0    | 15.0   | 10.00            | 86.55          | 31.14              | 1.7071     | 83.35         | 31.03            | 31.03            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
C_data_mnist     | mnist   | 70.0            | 50.0    | 15.0   | 10.00            | 99.69          | 31.48              | 1.3569     | 99.26         | 31.03            | 31.03            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
D_edge_003       | fmnist  | 70.0            | 50.0    | 15.0   | 10.00            | 98.04          | 4.65               | 0.2467     | 91.88         | 4.63             | 4.63             | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
D_edge_050       | fmnist  | 70.0            | 50.0    | 15.0   | 10.00            | 97.88          | 77.99              | 4.7134     | 92.71         | 77.61            | 94.80            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 0          
D_edge_100       | fmnist  | 70.0            | 50.0    | 15.0   | 10.00            | 98.01          | 89.70              | 6.7257     | 91.96         | 91.27            | 106.92           | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 0          
default          | fmnist  | 70.0            | 50.0    | 15.0   | 10.00            | 97.83          | 31.11              | 1.3844     | 92.07         | 31.03            | 31.03            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
